idno,netustm,ppltrst,vote,prtvtddk,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
102577,,8.0,Yes,Kristendemokraterne - Christian Democrats,1966,Never too young,Female,1948,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",12.0,11.0,12,,,79.0
102591,60.0,7.0,Not eligible to vote,,2004,50,Male,1977,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",23.0,37.0,37,38000.0,,67.0
102638,180.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1992,60,Male,1972,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14.0,38.0,40,48000.0,,73.0
102651,540.0,7.0,Not eligible to vote,,"Still in parental home, never left 2 months",45,Male,2000,Folkeskole 9.-10. klasse,12.0,,12,3500.0,,41.0
102792,,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1968,65,Male,1944,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",7.0,25.0,45,,,49.0
102863,488.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1988,62,Female,1966,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",23.0,25.0,25,,1.0,79.0
102987,210.0,2.0,Yes,Dansk Folkeparti - Danish People's Party,1993,55,Female,1974,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",20.0,37.0,37,31000.0,35000.0,45.0
103100,90.0,10.0,Yes,Det Konservative Folkeparti - Conservative People's Party,1992,65,Female,1974,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18.0,35.0,38,30000.0,35000.0,54.0
103272,90.0,4.0,Yes,Socialdemokratiet - The Social democrats,1978,50,Female,1960,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",20.0,35.0,35,,,72.0
103492,60.0,,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1982,20,Male,1964,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13.0,16.0,16,27000.0,,48.0
103561,240.0,8.0,Yes,Enhedslisten - Unity List - The Red-Green Alliance,1977,60,Male,1959,Folkeskole 9.-10. klasse,0.0,37.0,40,30000.0,,70.0
103584,300.0,9.0,No,,2010,54,Female,1992,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",2.0,40.0,40,,,331.0
103657,600.0,7.0,Yes,Dansk Folkeparti - Danish People's Party,1996,25,Female,1980,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14.0,36.0,36,26000.0,30000.0,85.0
103704,494.0,7.0,Yes,Det Radikale Venstre - The Radical Liberal Party,2011,55,Male,1991,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",15.0,15.0,15,,,51.0
103721,60.0,10.0,Yes,Det Konservative Folkeparti - Conservative People's Party,1963,58,Female,1948,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4.0,28.0,28,,,61.0
103839,210.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1980,67,Male,1960,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",21.0,37.0,37,44000.0,,48.0
103926,45.0,9.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1998,,Male,1975,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14.0,40.0,40,40000.0,,57.0
103973,120.0,8.0,Yes,Socialdemokratiet - The Social democrats,2000,Never too young,Male,1979,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18.0,37.0,37,47000.0,,84.0
104005,360.0,8.0,Yes,SF Socialistisk Folkeparti - Socialist People's Party,2007,55,Male,1987,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",20.0,37.0,37,40500.0,,61.0
104017,120.0,8.0,Yes,Other,2017,60,Female,1997,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",13.0,,5,,,51.0
104020,180.0,8.0,Yes,Det Radikale Venstre - The Radical Liberal Party,1965,60,Male,1948,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",20.0,37.0,45,,,65.0
104092,,3.0,Yes,Dansk Folkeparti - Danish People's Party,1957,,Female,1942,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",8.0,30.0,30,,,69.0
104101,15.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1962,65,Male,1945,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11.0,37.0,37,,,62.0
104113,720.0,8.0,Yes,Kristendemokraterne - Christian Democrats,1997,60,Male,1978,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17.0,30.0,30,26000.0,30000.0,49.0
104131,150.0,7.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1999,60,Female,1979,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",8.0,37.0,40,42000.0,,58.0
104186,360.0,8.0,Yes,Det Radikale Venstre - The Radical Liberal Party,1981,Never too young,Female,1961,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16.0,37.0,37,46500.0,,62.0
104373,30.0,8.0,Yes,Dansk Folkeparti - Danish People's Party,1967,,Male,1942,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",6.0,37.0,37,,,83.0
104398,300.0,8.0,Yes,Socialdemokratiet - The Social democrats,2005,55,Female,1987,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17.0,40.0,40,32000.0,,67.0
104424,360.0,9.0,Yes,,1980,,Female,1961,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",19.0,37.0,43,,,33.0
104533,360.0,8.0,Yes,Kristendemokraterne - Christian Democrats,1971,60,Male,1950,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15.0,30.0,40,,,86.0
104556,210.0,7.0,Not eligible to vote,,,50,Male,2001,Folkeskole 9.-10. klasse,0.0,35.0,35,3600.0,2500.0,56.0
104583,300.0,7.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1978,,Male,1961,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14.0,37.0,60,44000.0,,58.0
104606,180.0,6.0,No,,2010,60,Female,1990,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17.0,37.0,37,30000.0,,85.0
104710,150.0,4.0,Yes,Socialdemokratiet - The Social democrats,1959,50,Female,1944,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",13.0,37.0,37,,,71.0
104737,60.0,5.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party","Still in parental home, never left 2 months",50,Female,1970,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15.0,32.0,32,24500.0,,63.0
104745,360.0,8.0,Yes,Liberal Alliance - Liberal Alliance,1999,65,Female,1982,"Forskeruddannelse. Ph.d., doktor",21.0,37.0,37,38000.0,45000.0,52.0
104763,,7.0,Yes,,2014,55,Female,1993,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",14.0,8.0,10,,,76.0
104880,90.0,8.0,Yes,Socialdemokratiet - The Social democrats,1966,65,Male,1942,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11.0,37.0,40,,,71.0
104908,480.0,5.0,Yes,,1990,,Male,1975,Folkeskole 9.-10. klasse,12.0,20.0,22,,,113.0
104946,240.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1995,60,Male,1974,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15.0,37.0,37,38000.0,,88.0
