Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
2021-08-24 11:30:00,2021-08-24 11:30:00,17995,45,0.00250696378830084,17950,17905,18000,644
2021-08-24 11:00:00,2021-08-24 11:00:00,17950,10,0.000557413600891862,17935,17920,17970,506
2021-08-24 10:30:00,2021-08-24 10:30:00,17940,-30,-0.00166944908180301,17955,17910,17965,592
2021-08-24 10:00:00,2021-08-24 10:00:00,17970,-25,-0.00138927479855515,18000,17930,18045,1026
2021-08-24 09:30:00,2021-08-24 09:30:00,17995,10,0.000556018904642758,18190,17985,18190,1587
2021-08-23 17:00:00,2021-08-23 17:00:00,17985,80,0.00446802569114772,17905,17905,18005,4411
2021-08-23 16:30:00,2021-08-23 16:30:00,17905,-5,-0.000279173646007817,17900,17885,17980,1178
2021-08-23 16:00:00,2021-08-23 16:00:00,17910,30,0.00167785234899329,17885,17865,17915,840
2021-08-23 15:30:00,2021-08-23 15:30:00,17880,-60,-0.00334448160535117,17935,17875,17935,1036
2021-08-23 15:00:00,2021-08-23 15:00:00,17940,-45,-0.00250208507089241,17985,17935,18000,745
2021-08-23 14:30:00,2021-08-23 14:30:00,17985,0,0,17980,17975,18015,640
2021-08-23 14:00:00,2021-08-23 14:00:00,17985,-10,-0.000555709919422062,17990,17940,18005,393
2021-08-23 13:30:00,2021-08-23 13:30:00,17995,5,0.000277932184546971,17995,17975,18010,485
2021-08-23 13:00:00,2021-08-23 13:00:00,17990,0,0,17990,17945,17995,457
2021-08-23 12:30:00,2021-08-23 12:30:00,17990,-5,-0.000277854959711031,17995,17975,18005,384
2021-08-23 12:00:00,2021-08-23 12:00:00,17995,-20,-0.00111018595614765,18005,17970,18045,724
2021-08-23 11:30:00,2021-08-23 11:30:00,18015,-25,-0.00138580931263858,18045,18010,18055,378
2021-08-23 11:00:00,2021-08-23 11:00:00,18040,-30,-0.00166021029330382,18065,17995,18070,481
2021-08-23 10:30:00,2021-08-23 10:30:00,18070,45,0.00249653259361997,18015,17970,18115,938
2021-08-23 10:00:00,2021-08-23 10:00:00,18025,-40,-0.00221422640464988,18070,18020,18150,1386
2021-08-23 09:30:00,2021-08-23 09:30:00,18065,220,0.0123283833006444,18090,18050,18200,2196
2021-08-20 17:00:00,2021-08-20 17:00:00,17845,-95,-0.00529542920847269,17945,17755,17950,11856
2021-08-20 16:30:00,2021-08-20 16:30:00,17940,-30,-0.00166944908180301,17960,17920,17995,2054
2021-08-20 16:00:00,2021-08-20 16:00:00,17970,-35,-0.00194390447098028,18000,17965,18065,1654
2021-08-20 15:30:00,2021-08-20 15:30:00,18005,-70,-0.00387275242047026,18080,18005,18120,1522
2021-08-20 15:00:00,2021-08-20 15:00:00,18075,-65,-0.0035832414553473,18135,18070,18145,873
2021-08-20 14:30:00,2021-08-20 14:30:00,18140,40,0.00220994475138122,18095,18055,18145,731
2021-08-20 14:00:00,2021-08-20 14:00:00,18100,-100,-0.00549450549450549,18205,18075,18220,917
2021-08-20 13:30:00,2021-08-20 13:30:00,18200,-5,-0.000274649821477616,18195,18160,18215,1109
2021-08-20 13:00:00,2021-08-20 13:00:00,18205,75,0.00413678985107557,18130,18125,18260,965
2021-08-20 12:30:00,2021-08-20 12:30:00,18130,20,0.00110436223081171,18110,18060,18170,812
2021-08-20 12:00:00,2021-08-20 12:00:00,18110,-80,-0.00439802089059923,18175,18100,18200,886
2021-08-20 11:30:00,2021-08-20 11:30:00,18190,70,0.00386313465783664,18115,18105,18195,806
2021-08-20 11:00:00,2021-08-20 11:00:00,18120,160,0.0089086859688196,17960,17960,18135,921
2021-08-20 10:30:00,2021-08-20 10:30:00,17960,-45,-0.00249930574840322,18010,17955,18055,1877
2021-08-20 10:00:00,2021-08-20 10:00:00,18005,-155,-0.0085352422907489,18155,17965,18185,3740
2021-08-20 09:30:00,2021-08-20 09:30:00,18160,-225,-0.0122382376937721,18375,18130,18375,2456
2021-08-19 17:00:00,2021-08-19 17:00:00,18385,-105,-0.00567874526771228,18495,18350,18495,6732
2021-08-19 16:30:00,2021-08-19 16:30:00,18490,165,0.00900409276944066,18325,18325,18510,2060
2021-08-19 16:00:00,2021-08-19 16:00:00,18325,100,0.00548696844993141,18220,18205,18360,1910
2021-08-19 15:30:00,2021-08-19 15:30:00,18225,140,0.00774122200718828,18080,18055,18245,1443
2021-08-19 15:00:00,2021-08-19 15:00:00,18085,-115,-0.00631868131868132,18205,18045,18210,2593
2021-08-19 14:30:00,2021-08-19 14:30:00,18200,-100,-0.00546448087431694,18295,18185,18320,984
2021-08-19 14:00:00,2021-08-19 14:00:00,18300,80,0.00439077936333699,18225,18195,18315,764
2021-08-19 13:30:00,2021-08-19 13:30:00,18220,-95,-0.00518700518700519,18315,18190,18330,1565
2021-08-19 13:00:00,2021-08-19 13:00:00,18315,10,0.000546298825457525,18310,18270,18345,552
2021-08-19 12:30:00,2021-08-19 12:30:00,18305,-60,-0.00326708412741628,18370,18295,18370,703
2021-08-19 12:00:00,2021-08-19 12:00:00,18365,25,0.00136314067611778,18345,18330,18465,1232
2021-08-19 11:30:00,2021-08-19 11:30:00,18340,70,0.00383141762452107,18270,18250,18360,2638
2021-08-19 11:00:00,2021-08-19 11:00:00,18270,-35,-0.00191204588910134,18315,18265,18390,1915
2021-08-19 10:30:00,2021-08-19 10:30:00,18305,-130,-0.0070518036343911,18425,18305,18440,1058
2021-08-19 10:00:00,2021-08-19 10:00:00,18435,-15,-0.000813008130081301,18450,18340,18485,2054
2021-08-19 09:30:00,2021-08-19 09:30:00,18450,-350,-0.0186170212765957,18565,18155,18585,3899
2021-08-18 17:00:00,2021-08-18 17:00:00,18800,80,0.00427350427350427,18715,18710,18860,6814
2021-08-18 16:30:00,2021-08-18 16:30:00,18720,40,0.00214132762312634,18680,18675,18740,1063
2021-08-18 16:00:00,2021-08-18 16:00:00,18680,-25,-0.00133654103180968,18705,18665,18765,1190
2021-08-18 15:30:00,2021-08-18 15:30:00,18705,35,0.00187466523835029,18670,18645,18705,720
2021-08-18 15:00:00,2021-08-18 15:00:00,18670,25,0.00134084204880665,18640,18625,18675,527
